#;H_clay;H_soil;k_soil;Q_extraction
1;50;20;1.70;5185.716
2;50;20;2.40;5319.047
3;50;40;1.70;4956.707
4;50;40;2.40;5216.664
5;50;60;1.70;4746.503
6;50;60;2.40;5123.107
7;50;80;1.70;4553.049
8;50;80;2.40;5034.085
9;50;100;1.70;4375.343
10;50;100;2.40;4950.286
11;50;120;1.70;4210.259
12;50;120;2.40;4869.060
13;100;20;1.70;4728.293
14;100;20;2.40;4839.031
15;100;40;1.70;4536.011
16;100;40;2.40;4752.347
17;100;60;1.70;4358.846
18;100;60;2.40;4673.403
19;100;80;1.70;4195.129
20;100;80;2.40;4599.356
21;100;100;1.70;4043.014
22;100;100;2.40;4528.303
23;100;120;1.70;3901.399
24;100;120;2.40;4459.970
25;200;20;1.70;4014.518
26;200;20;2.40;4093.287
27;200;40;1.70;3874.383
28;200;40;2.40;4028.227
29;200;60;1.70;3743.109
30;200;60;2.40;3969.831
31;200;80;1.70;3620.030
32;200;80;2.40;3914.809
33;200;100;1.70;3508.992
34;200;100;2.40;3867.180
35;200;120;1.70;3478.836
